GRUP DE RECERCA UPC,ÀMBIT DE CONEIXEMENT
TRANSMAR - Grup de recerca de transport maritim i logistica portuaria,Enginyeria Industrial
TUAREG - Turbulence and Aerodynamics in Mechanical and Aerospace Engineering Research Group,Enginyeria Industrial
DF - Dinamica de Fluids: formacio d'estructures i aplicacions geofisiques,Física
DILAB - Laboratori de fisica dels materials dielectrics,Física
DRM - Dosimetria i Radiofisica Medica,Física
FOTONICA - Grup de Recerca de Fotonica,Física
GAA - Grup d'Astronomia i Astrofisica,Física
gAGE - Grup d'Astronomia i Geomatica,Física
GCO - Grup de Comunicacions Optiques,Física
GREO - Grup de Recerca en Enginyeria Optica,Física
GRPFM - Grup de Recerca en Propietats Fisiques dels Materials,Física
IonSAT - Grup de determinacio Ionosferica i navegacio per SAtel?lit i sistemes Terrestres,Física
LEAM - Laboratori d'Enginyeria Acustica i Mecanica,Física
LRG - Lightning Research Group,Física
"RF&MW - Grup de Recerca de sistemes, dispositius i materials de RF i microones",Física
SEER - Sistemes Electrics d'Energia Renovable,Física
SIMCON - First-principles approaches to condensed matter physics: quantum effects and complexity,Física
ACES - Control Avancat de Sistemes d'Energia,Física
ANT - Advanced Nuclear Technologies Research Group,Física
CTTC - Centre Tecnologic de la Transferencia de Calor,Física
CTE-CRAE - Grup de Recerca en Ciencies i Tecnologies de l'Espai,Física
"DONLL - Dinamica no Lineal, Optica no Lineal i Lasers",Física
GIES - Geofisica i Enginyeria Sismica,Física
GREENTECH - Grup de Recerca en Tecnologies Renovables,Física
CREMIT - Centre de Recerca de Motors i Instal?lacions Termiques,Física
FLUMEN - Dinamica Fluvial i Enginyeria Hidrologica,Geologia
GHS - Grup d'Hidrologia Subterrania,Geologia
GREMS - Grup de Recerca en Mineria Sostenible,Geologia
LABSON - Laboratori de Sistemes Oleohidraulics i Pneumatics,Geologia
LIM/UPC - Laboratori d'Enginyeria Maritima,Geologia
MSR - Mecanica del Sols i de les Roques,Geologia
CRAHI - Centre de Recerca Aplicada en Hidrometeorologia,Geologia
EnGeoModels - Monitoring and Modelling in Engineering Geology,Geologia
BCN SEER - Barcelona Science and Engineering Education Research Group,Gestió i Desenvolupament
CERTEC - Centre d'Estudis del Risc Tecnologic,Gestió i Desenvolupament
EScGD - Engineering Sciences and Global Development,Gestió i Desenvolupament
"GIOPACT - Grup de Recerca d'Igualtat d'Oportunitats per a l'Arquitectura, la Ciencia i la Tecnologia",Gestió i Desenvolupament
GRDU - Grup de recerca en Direccio Universitaria,Gestió i Desenvolupament
GREC - Grup de Recerca en Enginyeria del Coneixement,Gestió i Desenvolupament
GRHCT - Grup de Recerca d'Historia de la Ciencia i de la Tecnica,Gestió i Desenvolupament
GRO - Grup de Recerca en Organitzacio,Gestió i Desenvolupament
OPE-PROTHIUS - Organitzacio de la Produccio en Tallers Hibrids,Gestió i Desenvolupament
"STH - Sostenibilitat, Tecnologia i Humanisme",Gestió i Desenvolupament
SUMMLab - Sustainability Measurement and Modeling Lab,Gestió i Desenvolupament
ISG - Grup de Seguretat de la Informacio,Gestió i Desenvolupament
SCOM - Supply Chain and Operations Management,Gestió i Desenvolupament
ANiComp - Analisi numerica i computacio cientifica,Matemàtiques
CGA - Computational Geometry and Applications,Matemàtiques
"COMBGRAPH - Combinatoria, Teoria de Grafs i Aplicacions",Matemàtiques
COSDA-UPC - COmpositional and Spatial Data Analysis,Matemàtiques
DCG - Discrete and Combinatorial Geometry,Matemàtiques
